position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,27,False,False,False,76.363,0.0,1287,11300
2,81,29,False,False,False,76.566,0.203,1287,11300
3,16,29,False,False,False,76.883,0.52,1287,11300
4,3,29,False,False,False,77.047,0.684,1287,11300
5,67,22,False,False,False,77.216,0.853,1287,11300
6,97,24,False,False,False,77.321,0.958,1287,11300
7,30,24,False,False,False,77.472,1.109,1287,11300
8,38,30,False,False,False,77.778,1.415,1287,11300
9,41,29,False,False,False,77.804,1.441,1287,11300
10,43,28,False,False,False,77.893,1.53,1287,11300
11,87,25,False,False,False,78.172,1.809,1287,11300
12,5,28,False,False,False,78.209,1.846,1287,11300
13,55,27,False,False,False,78.293,1.93,1287,11300
14,36,21,False,False,False,78.298,1.935,1287,11300
15,72,28,False,False,False,78.365,2.002,1287,11300
16,31,27,False,False,False,78.372,2.009,1287,11300
17,10,23,False,False,False,78.508,2.145,1287,11300
18,77,23,False,False,False,78.914,2.551,1287,11300
19,14,23,False,False,False,80.067,3.704,1287,11300
20,18,21,False,False,False,80.318,3.955,1287,11300
21,25,27,False,False,False,80.697,4.334,1287,11300
