date,session_key,driver_number,lane_duration,meeting_key,pit_duration,lap_number,stop_duration
2026-06-06T14:00:03.006000+00:00,11295,11,,1286,,1,
2026-06-06T14:00:06.545000+00:00,11295,77,,1286,,1,
2026-06-06T14:00:10.963000+00:00,11295,43,,1286,,1,
2026-06-06T14:00:16.217000+00:00,11295,10,,1286,,1,
2026-06-06T14:00:21.073000+00:00,11295,87,,1286,,1,
2026-06-06T14:00:26.072000+00:00,11295,31,,1286,,1,
2026-06-06T14:00:30.888000+00:00,11295,27,,1286,,1,
2026-06-06T14:00:35.720000+00:00,11295,41,,1286,,1,
2026-06-06T14:00:42.382000+00:00,11295,23,,1286,,1,
2026-06-06T14:00:45.674000+00:00,11295,30,,1286,,1,
2026-06-06T14:00:50.452000+00:00,11295,55,,1286,,1,
2026-06-06T14:00:57.405000+00:00,11295,5,,1286,,1,
2026-06-06T14:01:05.854000+00:00,11295,14,,1286,,1,
2026-06-06T14:01:08.277000+00:00,11295,18,,1286,,1,
2026-06-06T14:01:16.532000+00:00,11295,6,,1286,,1,
2026-06-06T14:01:23.118000+00:00,11295,1,,1286,,1,
2026-06-06T14:01:29.547000+00:00,11295,16,,1286,,1,
2026-06-06T14:01:40.050000+00:00,11295,44,,1286,,1,
2026-06-06T14:01:44.699000+00:00,11295,12,,1286,,1,
2026-06-06T14:01:48.388000+00:00,11295,81,,1286,,1,
2026-06-06T14:01:57.732000+00:00,11295,63,,1286,,1,
2026-06-06T14:03:53.451000+00:00,11295,3,,1286,,1,
2026-06-06T14:07:45.705000+00:00,11295,10,27.5,1286,27.5,6,
2026-06-06T14:08:23.679000+00:00,11295,43,74.3,1286,74.3,6,
2026-06-06T14:09:23.910000+00:00,11295,41,28.5,1286,28.5,7,
2026-06-06T14:09:46.059000+00:00,11295,30,39.4,1286,39.4,7,
2026-06-06T14:10:00.555000+00:00,11295,14,29.3,1286,29.3,7,
2026-06-06T14:10:05.700000+00:00,11295,18,30.0,1286,30.0,7,
2026-06-06T14:10:38.177000+00:00,11295,31,28.1,1286,28.1,8,
2026-06-06T14:10:58.945000+00:00,11295,27,27.0,1286,27.0,8,
2026-06-06T14:11:06.536000+00:00,11295,23,29.8,1286,29.8,8,
2026-06-06T14:11:25.113000+00:00,11295,5,37.1,1286,37.1,8,
2026-06-06T14:11:40.171000+00:00,11295,11,201.7,1286,201.7,7,
2026-06-06T14:11:46.237000+00:00,11295,55,61.3,1286,61.3,8,
2026-06-06T14:11:55.355000+00:00,11295,87,27.3,1286,27.3,9,
2026-06-06T14:12:38.940000+00:00,11295,77,162.6,1286,162.6,8,
2026-06-06T14:22:02.461000+00:00,11295,11,824.0,1286,824.0,11,
2026-06-06T14:22:05.801000+00:00,11295,77,729.4,1286,729.4,11,
2026-06-06T14:22:11.038000+00:00,11295,10,892.9,1286,892.9,12,
2026-06-06T14:22:15.815000+00:00,11295,87,647.7,1286,647.7,12,
2026-06-06T14:22:18.950000+00:00,11295,31,728.9,1286,728.9,12,
2026-06-06T14:22:24.308000+00:00,11295,14,773.1,1286,773.1,12,
2026-06-06T14:22:26.202000+00:00,11295,55,701.3,1286,701.3,11,
2026-06-06T14:22:29.387000+00:00,11295,23,712.6,1286,712.6,12,
2026-06-06T14:22:33.351000+00:00,11295,43,924.0,1286,924.0,12,
2026-06-06T14:22:36.744000+00:00,11295,18,781.0,1286,781.0,11,
2026-06-06T14:22:40.465000+00:00,11295,41,825.1,1286,825.1,12,
