date,session_key,wind_direction,rainfall,wind_speed,track_temperature,humidity,air_temperature,meeting_key,pressure
2026-06-06T14:47:15.993000+00:00,11295,185,0,1.2,34.2,55.6,23.4,1286,1017.4
2026-06-06T14:48:15.994000+00:00,11295,209,0,2.9,33.0,54.7,23.6,1286,1017.5
2026-06-06T14:49:15.996000+00:00,11295,210,0,2.2,32.7,56.0,23.6,1286,1017.5
2026-06-06T14:50:15.996000+00:00,11295,0,0,0.0,33.5,57.3,23.5,1286,1017.4
2026-06-06T14:51:15.999000+00:00,11295,277,0,0.7,32.5,57.1,23.5,1286,1017.5
2026-06-06T14:52:15.997000+00:00,11295,172,0,0.9,33.5,58.8,23.3,1286,1017.4
2026-06-06T14:53:16.025000+00:00,11295,0,0,0.0,33.0,58.1,23.3,1286,1017.5
2026-06-06T14:54:16.013000+00:00,11295,0,0,0.0,33.6,59.1,23.1,1286,1017.5
2026-06-06T14:55:15.999000+00:00,11295,0,0,0.0,33.3,61.3,23.0,1286,1017.5
2026-06-06T14:56:16.007000+00:00,11295,0,0,0.0,33.3,61.3,23.0,1286,1017.5
2026-06-06T14:57:16.018000+00:00,11295,204,0,0.6,33.0,60.0,23.1,1286,1017.5
2026-06-06T14:58:16+00:00,11295,215,0,2.1,33.1,60.2,23.1,1286,1017.6
2026-06-06T14:59:16.002000+00:00,11295,215,0,2.1,33.1,60.2,23.1,1286,1017.6
2026-06-06T15:00:16.006000+00:00,11295,191,0,0.9,33.2,59.0,23.2,1286,1017.5
2026-06-06T15:01:16.007000+00:00,11295,195,0,0.4,33.0,59.1,23.2,1286,1017.5
2026-06-06T15:02:16.004000+00:00,11295,317,0,0.6,32.5,58.6,23.2,1286,1017.6
2026-06-06T15:03:16.001000+00:00,11295,0,0,0.0,33.1,59.6,23.2,1286,1017.5
2026-06-06T15:04:16.021000+00:00,11295,0,0,0.0,33.1,59.6,23.2,1286,1017.5
2026-06-06T15:05:16.005000+00:00,11295,0,0,0.0,33.1,59.6,23.2,1286,1017.5
2026-06-06T15:06:16.004000+00:00,11295,0,0,0.0,33.1,59.6,23.2,1286,1017.5
2026-06-06T15:07:16.017000+00:00,11295,208,0,0.9,32.5,59.3,23.3,1286,1017.5
2026-06-06T15:08:16.016000+00:00,11295,157,0,1.1,32.4,59.4,23.3,1286,1017.6
2026-06-06T15:09:16.010000+00:00,11295,159,0,0.9,32.3,59.0,23.2,1286,1017.6
