position,driver_number,lap_duration,meeting_key,session_key
1,12,72.051,1286,11295
2,3,72.094,1286,11295
3,44,72.279,1286,11295
4,16,72.351,1286,11295
5,6,72.434,1286,11295
6,63,72.445,1286,11295
7,81,72.624,1286,11295
8,1,72.765,1286,11295
9,10,73.226,1286,11295
10,30,73.412,1286,11295
11,23,73.787,1286,11295
12,55,73.815,1286,11295
13,27,73.902,1286,11295
14,43,73.995,1286,11295
15,41,74.248,1286,11295
16,5,,1286,11295
17,31,74.722,1286,11295
18,11,74.747,1286,11295
19,87,74.814,1286,11295
20,77,75.283,1286,11295
21,14,75.349,1286,11295
22,18,76.061,1286,11295
