position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,28,False,False,False,"[73.599, 72.704, 72.051]","[0.306, 0.205, 0.0]",1286,11295
2,3,26,False,False,False,"[73.49, 72.499, 72.094]","[0.197, 0.0, 0.043]",1286,11295
3,44,28,False,False,False,"[73.777, 72.934, 72.279]","[0.484, 0.435, 0.228]",1286,11295
4,16,29,False,False,False,"[73.293, 72.774, 72.351]","[0.0, 0.275, 0.3]",1286,11295
5,6,25,False,False,False,"[74.408, 72.722, 72.434]","[1.115, 0.223, 0.383]",1286,11295
6,63,28,False,False,False,"[74.214, 73.238, 72.445]","[0.921, 0.739, 0.394]",1286,11295
7,81,29,False,False,False,"[74.159, 72.983, 72.624]","[0.866, 0.484, 0.573]",1286,11295
8,1,28,False,False,False,"[73.63, 72.919, 72.765]","[0.337, 0.42, 0.714]",1286,11295
9,10,32,False,False,False,"[74.469, 73.762, 73.226]","[1.176, 1.263, 1.175]",1286,11295
10,30,29,False,False,False,"[74.498, 73.471, 73.412]","[1.205, 0.972, 1.361]",1286,11295
11,23,24,False,False,False,"[74.321, 73.787, None]","[1.028, 1.288, None]",1286,11295
12,55,23,False,False,False,"[74.348, 73.815, None]","[1.055, 1.316, None]",1286,11295
13,27,21,False,False,False,"[73.923, 73.902, None]","[0.63, 1.403, None]",1286,11295
14,43,24,False,False,False,"[74.573, 73.995, None]","[1.28, 1.496, None]",1286,11295
15,41,23,False,False,False,"[74.685, 74.248, None]","[1.392, 1.749, None]",1286,11295
16,5,10,False,False,False,"[74.683, None, None]","[1.39, None, None]",1286,11295
17,31,14,False,False,False,"[74.722, None, None]","[1.429, None, None]",1286,11295
18,11,12,False,False,False,"[74.747, None, None]","[1.454, None, None]",1286,11295
19,87,14,False,False,False,"[74.814, None, None]","[1.521, None, None]",1286,11295
20,77,13,False,False,False,"[75.283, None, None]","[1.99, None, None]",1286,11295
21,14,13,False,False,False,"[75.349, None, None]","[2.056, None, None]",1286,11295
22,18,11,False,False,False,"[76.061, None, None]","[2.768, None, None]",1286,11295
