season,round,event_name,session_code,driver_id,constructor_id,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,practice_importance,degradation_risk,tyre_life_index
2026,1,Australian Grand Prix,R,ALB,Williams,1.0,MEDIUM,12,91.56275,0.5636363636363639,-0.1398601398601399,1.0,12.0,1.1,16.909,24.0
2026,1,Australian Grand Prix,R,ALB,Williams,2.0,HARD,21,90.29438095238096,0.35745,0.1805194805194805,1.0,21.0,1.1,10.724,42.0
2026,1,Australian Grand Prix,R,ALB,Williams,3.0,SOFT,24,85.330875,-0.2021739130434785,0.0343552954414184,1.0,24.0,1.1,-6.065,48.0
2026,1,Australian Grand Prix,R,ALO,Aston Martin,1.0,SOFT,11,91.64536363636364,-0.0123000000000004,-0.1909090909090909,1.0,11.0,1.1,-0.369,22.0
2026,1,Australian Grand Prix,R,ALO,Aston Martin,2.0,SOFT,1,122.34,0.0,0.0,1.0,1.0,1.1,0.0,2.0
2026,1,Australian Grand Prix,R,ALO,Aston Martin,3.0,SOFT,8,88.227375,-1.090142857142857,0.1904761904761905,3.0,10.0,1.1,-30.0,18.0
2026,1,Australian Grand Prix,R,ANT,Mercedes,1.0,MEDIUM,12,89.37725,-0.279636363636363,-0.3986013986013986,1.0,12.0,1.1,-8.389,24.0
2026,1,Australian Grand Prix,R,ANT,Mercedes,2.0,HARD,46,85.1575652173913,-0.2621777777777778,-0.6103795987977123,1.0,46.0,1.1,-7.865,92.0
2026,1,Australian Grand Prix,R,BEA,Haas F1 Team,1.0,MEDIUM,18,91.16983333333332,0.1179411764705888,-0.2466460268317853,1.0,18.0,1.1,3.538,36.0
2026,1,Australian Grand Prix,R,BEA,Haas F1 Team,2.0,HARD,39,85.90607692307692,-0.2246578947368422,-0.0157902728073066,1.0,39.0,1.1,-6.74,78.0
2026,1,Australian Grand Prix,R,BOR,Audi,1.0,MEDIUM,18,91.4626111111111,0.2063529411764703,-0.2383900928792569,1.0,18.0,1.1,6.191,36.0
2026,1,Australian Grand Prix,R,BOR,Audi,2.0,HARD,15,87.88773333333332,-0.0873571428571427,-0.3642857142857142,1.0,15.0,1.1,-2.621,30.0
2026,1,Australian Grand Prix,R,BOR,Audi,3.0,HARD,24,84.788875,-0.3680434782608697,0.2565217391304347,1.0,24.0,1.1,-11.041,48.0
2026,1,Australian Grand Prix,R,BOT,Cadillac,1.0,HARD,11,90.27627272727273,-0.2490999999999999,-0.5090909090909091,1.0,11.0,1.1,-7.473,22.0
2026,1,Australian Grand Prix,R,BOT,Cadillac,2.0,HARD,3,95.61,-5.029499999999999,-1.0,13.0,15.0,1.1,-30.0,18.0
2026,1,Australian Grand Prix,R,COL,Alpine,1.0,HARD,9,91.152,-0.2934999999999998,-0.25,1.0,9.0,1.1,-8.805,18.0
2026,1,Australian Grand Prix,R,COL,Alpine,2.0,HARD,37,89.87243243243242,0.0301111111111108,-0.1853959222380275,10.0,46.0,1.1,0.903,83.0
2026,1,Australian Grand Prix,R,COL,Alpine,3.0,SOFT,10,84.964,-0.7431111111111114,-0.006060606060606,1.0,10.0,1.1,-22.293,20.0
2026,1,Australian Grand Prix,R,GAS,Alpine,1.0,MEDIUM,11,88.86627272727273,-0.0612000000000009,-0.2181818181818182,1.0,11.0,1.1,-1.836,22.0
2026,1,Australian Grand Prix,R,GAS,Alpine,2.0,HARD,46,87.78910869565216,-0.1938666666666667,-0.1880357693493679,1.0,46.0,1.1,-5.816,92.0
2026,1,Australian Grand Prix,R,HAD,Red Bull Racing,1.0,MEDIUM,10,86.55250000000001,-1.180444444444444,-0.6848484848484848,1.0,10.0,1.1,-30.0,20.0
2026,1,Australian Grand Prix,R,HAM,Ferrari,1.0,MEDIUM,28,89.10682142857142,-0.1408518518518522,-0.3322386425834702,1.0,28.0,1.1,-4.226,56.0
2026,1,Australian Grand Prix,R,HAM,Ferrari,2.0,HARD,30,83.59846666666668,-0.2082758620689652,-0.5733036707452726,1.0,30.0,1.1,-6.248,60.0
2026,1,Australian Grand Prix,R,LAW,Racing Bulls,1.0,MEDIUM,11,90.33554545454544,-0.2786000000000001,-0.4090909090909091,1.0,11.0,1.1,-8.358,22.0
2026,1,Australian Grand Prix,R,LAW,Racing Bulls,2.0,HARD,22,91.4751818181818,-0.5596190476190473,-0.233201581027668,1.0,22.0,1.1,-16.789,44.0
2026,1,Australian Grand Prix,R,LAW,Racing Bulls,3.0,SOFT,24,84.90954166666667,-0.2004347826086962,0.1139130434782608,1.0,24.0,1.1,-6.013,48.0
2026,1,Australian Grand Prix,R,LEC,Ferrari,1.0,MEDIUM,25,89.57508,-0.3071250000000003,-0.2015384615384615,1.0,25.0,1.1,-9.214,50.0
2026,1,Australian Grand Prix,R,LEC,Ferrari,2.0,HARD,33,83.72554545454545,-0.1989999999999998,-0.1387032085561497,1.0,33.0,1.1,-5.97,66.0
2026,1,Australian Grand Prix,R,LIN,Racing Bulls,1.0,MEDIUM,18,91.06794444444444,0.3511764705882352,-0.001031991744066,1.0,18.0,1.1,10.535,36.0
2026,1,Australian Grand Prix,R,LIN,Racing Bulls,2.0,HARD,39,86.13830769230769,-0.2825000000000003,0.1846247282085082,1.0,39.0,1.1,-8.475,78.0
2026,1,Australian Grand Prix,R,NOR,McLaren,1.0,MEDIUM,11,88.33936363636361,-0.1162999999999996,-0.3181818181818182,1.0,11.0,1.1,-3.489,22.0
2026,1,Australian Grand Prix,R,NOR,McLaren,2.0,HARD,23,89.84326086956521,0.1224090909090908,-0.1521739130434782,1.0,23.0,1.1,3.672,46.0
2026,1,Australian Grand Prix,R,NOR,McLaren,3.0,MEDIUM,24,83.35058333333335,-0.2777391304347822,-0.6704347826086956,1.0,24.0,1.1,-8.332,48.0
2026,1,Australian Grand Prix,R,OCO,Haas F1 Team,1.0,MEDIUM,11,88.81036363636362,-0.1402999999999991,-0.3545454545454546,1.0,11.0,1.1,-4.209,22.0
2026,1,Australian Grand Prix,R,OCO,Haas F1 Team,2.0,HARD,46,87.82036956521738,-0.1314222222222222,-0.3518347209374036,1.0,46.0,1.1,-3.943,92.0
2026,1,Australian Grand Prix,R,PER,Cadillac,1.0,MEDIUM,18,94.29555555555557,0.2251176470588226,0.2694889362743874,1.0,18.0,1.1,6.754,36.0
2026,1,Australian Grand Prix,R,PER,Cadillac,2.0,HARD,25,89.89304,0.0610833333333336,0.0784615384615384,1.0,25.0,1.1,1.833,50.0
2026,1,Australian Grand Prix,R,PER,Cadillac,3.0,SOFT,12,87.50041666666668,-0.4059090909090912,0.0209790209790209,1.0,12.0,1.1,-12.177,24.0
2026,1,Australian Grand Prix,R,RUS,Mercedes,1.0,MEDIUM,12,88.90633333333334,0.1157272727272723,-0.1888111888111888,1.0,12.0,1.1,3.472,24.0
