position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,72,25.0,False,False,False,7484.859,0,1292,11353
2.0,12,72,18.0,False,False,False,7496.395,11.536,1292,11353
3.0,63,72,15.0,False,False,False,7500.765,15.906,1292,11353
4.0,44,72,12.0,False,False,False,7501.614,16.755,1292,11353
5.0,16,72,10.0,False,False,False,7502.117,17.258,1292,11353
6.0,81,72,8.0,False,False,False,7517.191,32.332,1292,11353
7.0,30,72,6.0,False,False,False,7564.774,79.915,1292,11353
8.0,27,71,4.0,False,False,False,,+1 LAP,1292,11353
9.0,14,71,2.0,False,False,False,,+1 LAP,1292,11353
10.0,10,71,1.0,False,False,False,,+1 LAP,1292,11353
11.0,22,71,0.0,False,False,False,,+1 LAP,1292,11353
12.0,41,71,0.0,False,False,False,,+1 LAP,1292,11353
13.0,5,71,0.0,False,False,False,,+1 LAP,1292,11353
14.0,43,70,0.0,False,False,False,,+2 LAPS,1292,11353
15.0,11,70,0.0,False,False,False,,+2 LAPS,1292,11353
16.0,55,70,0.0,False,False,False,,+2 LAPS,1292,11353
17.0,23,66,0.0,True,False,False,,,1292,11353
,77,61,0.0,True,False,False,,,1292,11353
,31,52,0.0,True,False,False,,,1292,11353
,18,45,0.0,True,False,False,,,1292,11353
,87,2,0.0,True,False,False,,,1292,11353
,3,0,0.0,True,False,False,,,1292,11353
