position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,81,29,False,False,False,90.133,0.0,1281,11247
2,12,28,False,False,False,90.225,0.092,1281,11247
3,63,29,False,False,False,90.338,0.205,1281,11247
4,1,17,False,False,False,90.649,0.516,1281,11247
5,16,28,False,False,False,90.846,0.713,1281,11247
6,44,27,False,False,False,90.98,0.847,1281,11247
7,27,27,False,False,False,91.441,1.308,1281,11247
8,23,30,False,False,False,91.496,1.363,1281,11247
9,87,28,False,False,False,91.498,1.365,1281,11247
10,3,29,False,False,False,91.509,1.376,1281,11247
11,31,30,False,False,False,91.532,1.399,1281,11247
12,30,31,False,False,False,91.59,1.457,1281,11247
13,55,30,False,False,False,91.608,1.475,1281,11247
14,10,29,False,False,False,91.734,1.601,1281,11247
15,6,29,False,False,False,91.759,1.626,1281,11247
16,5,11,False,False,False,91.933,1.8,1281,11247
17,43,28,False,False,False,92.438,2.305,1281,11247
18,77,28,False,False,False,92.615,2.482,1281,11247
19,14,24,False,False,False,93.596,3.463,1281,11247
20,11,14,False,False,False,93.689,3.556,1281,11247
21,18,21,False,False,False,93.951,3.818,1281,11247
22,41,1,False,False,False,,,1281,11247
