date,session_key,lane_duration,pit_duration,meeting_key,lap_number,driver_number,stop_duration
2026-03-27T06:43:48.279000+00:00,11247,299.9,299.9,1281,17,10,
2026-03-27T06:45:58.163000+00:00,11247,384.6,384.6,1281,17,16,
2026-03-27T06:46:45.428000+00:00,11247,17.8,17.8,1281,14,18,
2026-03-27T06:47:14.171000+00:00,11247,442.2,442.2,1281,17,44,
2026-03-27T06:49:05.909000+00:00,11247,2662.3,2662.3,1281,3,5,
2026-03-27T06:49:48.857000+00:00,11247,453.0,453.0,1281,9,1,
2026-03-27T06:51:21.531000+00:00,11247,607.7,607.7,1281,6,11,
2026-03-27T06:51:27.359000+00:00,11247,410.4,410.4,1281,18,14,
2026-03-27T06:52:50.745000+00:00,11247,25.0,25.0,1281,20,44,
2026-03-27T06:53:24.104000+00:00,11247,35.6,35.6,1281,5,5,
2026-03-27T06:54:20.325000+00:00,11247,24.6,24.6,1281,21,27,
2026-03-27T06:56:33.912000+00:00,11247,249.8,249.8,1281,17,18,
2026-03-27T06:58:40.965000+00:00,11247,50.8,50.8,1281,26,63,
2026-03-27T06:59:16.197000+00:00,11247,23.1,23.1,1281,26,81,
2026-03-27T06:59:20.521000+00:00,11247,26.0,26.0,1281,27,23,
2026-03-27T06:59:26.523000+00:00,11247,217.6,217.6,1281,25,12,
2026-03-27T06:59:33.312000+00:00,11247,24.5,24.5,1281,27,55,
