date,session_key,lane_duration,pit_duration,meeting_key,lap_number,driver_number,stop_duration
2026-03-27T06:00:03.201000+00:00,11247,,,1281,1,44,
2026-03-27T06:00:05.002000+00:00,11247,,,1281,1,43,
2026-03-27T06:00:08.542000+00:00,11247,,,1281,1,77,
2026-03-27T06:00:08.664000+00:00,11247,,,1281,1,30,
2026-03-27T06:00:11.245000+00:00,11247,,,1281,1,31,
2026-03-27T06:00:13.052000+00:00,11247,,,1281,1,12,
2026-03-27T06:00:14.616000+00:00,11247,,,1281,1,81,
2026-03-27T06:00:15.694000+00:00,11247,,,1281,1,87,
2026-03-27T06:00:21.682000+00:00,11247,,,1281,1,41,
2026-03-27T06:00:24.233000+00:00,11247,,,1281,1,27,
2026-03-27T06:00:26.184000+00:00,11247,,,1281,1,14,
2026-03-27T06:00:35.572000+00:00,11247,,,1281,1,5,
2026-03-27T06:00:41.516000+00:00,11247,,,1281,1,6,
2026-03-27T06:00:45.371000+00:00,11247,,,1281,1,3,
2026-03-27T06:01:06.611000+00:00,11247,,,1281,1,63,
2026-03-27T06:01:22.322000+00:00,11247,,,1281,1,23,
2026-03-27T06:01:22.990000+00:00,11247,,,1281,1,10,
2026-03-27T06:03:08.935000+00:00,11247,19.2,19.2,1281,2,12,
2026-03-27T06:03:13.842000+00:00,11247,,,1281,1,18,
2026-03-27T06:03:23.243000+00:00,11247,,,1281,1,55,
2026-03-27T06:03:38.216000+00:00,11247,,,1281,1,16,
2026-03-27T06:03:45.823000+00:00,11247,44.7,44.7,1281,2,63,
2026-03-27T06:09:08.500000+00:00,11247,30.2,30.2,1281,5,14,
2026-03-27T06:09:15.613000+00:00,11247,44.7,44.7,1281,5,3,
2026-03-27T06:09:50.954000+00:00,11247,29.5,29.5,1281,5,63,
2026-03-27T06:12:55.249000+00:00,11247,28.4,28.4,1281,7,6,
2026-03-27T06:15:11.320000+00:00,11247,168.2,168.2,1281,6,55,
2026-03-27T06:21:05.025000+00:00,11247,282.2,282.2,1281,8,18,
2026-03-27T06:21:45.075000+00:00,11247,504.9,504.9,1281,8,81,
2026-03-27T06:22:24.434000+00:00,11247,344.0,344.0,1281,8,16,
2026-03-27T06:22:32.696000+00:00,11247,317.8,317.8,1281,10,30,
2026-03-27T06:22:40.557000+00:00,11247,500.8,500.8,1281,8,44,
2026-03-27T06:22:44.601000+00:00,11247,322.5,322.5,1281,9,12,
2026-03-27T06:22:50.681000+00:00,11247,572.3,572.3,1281,8,77,
2026-03-27T06:22:56.466000+00:00,11247,,,1281,1,1,
2026-03-27T06:24:22.039000+00:00,11247,377.5,377.5,1281,10,14,
2026-03-27T06:24:24.981000+00:00,11247,305.2,305.2,1281,10,63,
2026-03-27T06:24:54.798000+00:00,11247,470.3,470.3,1281,10,31,
2026-03-27T06:25:05.729000+00:00,11247,664.3,664.3,1281,8,87,
2026-03-27T06:25:18.062000+00:00,11247,570.6,570.6,1281,9,43,
2026-03-27T06:25:27.544000+00:00,11247,511.6,511.6,1281,9,3,
2026-03-27T06:25:36.137000+00:00,11247,439.5,439.5,1281,10,6,
2026-03-27T06:25:42.262000+00:00,11247,298.8,298.8,1281,11,23,
2026-03-27T06:25:47.321000+00:00,11247,122.6,122.6,1281,11,55,
2026-03-27T06:26:50.321000+00:00,11247,782.3,782.3,1281,8,27,
2026-03-27T06:27:45.911000+00:00,11247,457.5,457.5,1281,11,10,
2026-03-27T06:29:04.417000+00:00,11247,54.4,54.4,1281,12,12,
2026-03-27T06:29:22.717000+00:00,11247,33.0,33.0,1281,11,77,
2026-03-27T06:30:49.191000+00:00,11247,20.0,20.0,1281,13,31,
2026-03-27T06:31:04.593000+00:00,11247,26.4,26.4,1281,13,81,
2026-03-27T06:31:23.936000+00:00,11247,299.6,299.6,1281,3,1,
2026-03-27T06:31:36.677000+00:00,11247,39.4,39.4,1281,11,87,
2026-03-27T06:31:36.742000+00:00,11247,33.8,33.8,1281,13,6,
2026-03-27T06:32:05.449000+00:00,11247,,,1281,1,11,
2026-03-27T06:32:26.806000+00:00,11247,28.0,28.0,1281,14,63,
2026-03-27T06:35:54.067000+00:00,11247,379.8,379.8,1281,13,14,
2026-03-27T06:36:00.794000+00:00,11247,30.1,30.1,1281,15,16,
2026-03-27T06:36:23.761000+00:00,11247,344.2,344.2,1281,12,3,
2026-03-27T06:38:47.593000+00:00,11247,323.8,323.8,1281,16,30,
2026-03-27T06:39:20.075000+00:00,11247,360.7,360.7,1281,15,55,
2026-03-27T06:39:24.472000+00:00,11247,303.4,303.4,1281,15,12,
2026-03-27T06:40:20.737000+00:00,11247,326.7,326.7,1281,14,77,
2026-03-27T06:40:44.401000+00:00,11247,867.6,867.6,1281,11,18,
2026-03-27T06:40:53.741000+00:00,11247,340.3,340.3,1281,16,23,
2026-03-27T06:40:58.640000+00:00,11247,301.9,301.9,1281,13,27,
2026-03-27T06:41:12.763000+00:00,11247,23.9,23.9,1281,17,30,
2026-03-27T06:41:58.110000+00:00,11247,297.5,297.5,1281,14,87,
2026-03-27T06:42:00.822000+00:00,11247,325.0,325.0,1281,16,31,
2026-03-27T06:42:32.353000+00:00,11247,348.3,348.3,1281,15,43,
2026-03-27T06:42:55.240000+00:00,11247,401.1,401.1,1281,16,81,
2026-03-27T06:43:07.133000+00:00,11247,370.0,370.0,1281,16,6,
2026-03-27T06:43:12.031000+00:00,11247,329.2,329.2,1281,17,63,
