id,race_id,driver_id,constructor_id,grid_position,finish_position,finish_status,points,laps_completed
2026-05-villeneuve|stroll,2026-05-villeneuve,stroll,aston_martin,17,16,Lapped,0.0,22
2026-05-villeneuve|bottas,2026-05-villeneuve,bottas,cadillac,21,17,Lapped,0.0,22
2026-05-villeneuve|bearman,2026-05-villeneuve,bearman,haas,19,18,Lapped,0.0,22
2026-05-villeneuve|albon,2026-05-villeneuve,albon,williams,22,19,Lapped,0.0,22
2026-05-villeneuve|gasly,2026-05-villeneuve,gasly,alpine,20,20,Lapped,0.0,22
2026-05-villeneuve|hadjar,2026-05-villeneuve,hadjar,red_bull,8,21,Lapped,0.0,20
2026-05-villeneuve|alonso,2026-05-villeneuve,alonso,aston_martin,15,22,Retired,0.0,15
2026-09-silverstone|antonelli,2026-09-silverstone,antonelli,mercedes,2,1,Finished,8.0,17
2026-09-silverstone|hamilton,2026-09-silverstone,hamilton,ferrari,1,2,Finished,7.0,17
2026-09-silverstone|norris,2026-09-silverstone,norris,mclaren,6,3,Finished,6.0,17
2026-09-silverstone|russell,2026-09-silverstone,russell,mercedes,5,4,Finished,5.0,17
2026-09-silverstone|leclerc,2026-09-silverstone,leclerc,ferrari,4,5,Finished,4.0,17
2026-09-silverstone|max_verstappen,2026-09-silverstone,max_verstappen,red_bull,3,6,Finished,3.0,17
2026-09-silverstone|piastri,2026-09-silverstone,piastri,mclaren,7,7,Finished,2.0,17
2026-09-silverstone|lawson,2026-09-silverstone,lawson,rb,9,8,Finished,1.0,17
2026-09-silverstone|hadjar,2026-09-silverstone,hadjar,red_bull,8,9,Finished,0.0,17
2026-09-silverstone|arvid_lindblad,2026-09-silverstone,arvid_lindblad,rb,10,10,Finished,0.0,17
2026-09-silverstone|gasly,2026-09-silverstone,gasly,alpine,11,11,Finished,0.0,17
2026-09-silverstone|colapinto,2026-09-silverstone,colapinto,alpine,14,12,Finished,0.0,17
2026-09-silverstone|bortoleto,2026-09-silverstone,bortoleto,audi,12,13,Finished,0.0,17
2026-09-silverstone|bearman,2026-09-silverstone,bearman,haas,16,14,Finished,0.0,17
2026-09-silverstone|hulkenberg,2026-09-silverstone,hulkenberg,audi,13,15,Finished,0.0,17
2026-09-silverstone|ocon,2026-09-silverstone,ocon,haas,17,16,Finished,0.0,17
2026-09-silverstone|sainz,2026-09-silverstone,sainz,williams,15,17,Finished,0.0,17
2026-09-silverstone|albon,2026-09-silverstone,albon,williams,22,18,Finished,0.0,17
2026-09-silverstone|bottas,2026-09-silverstone,bottas,cadillac,19,19,Finished,0.0,17
2026-09-silverstone|alonso,2026-09-silverstone,alonso,aston_martin,20,20,Finished,0.0,17
2026-09-silverstone|stroll,2026-09-silverstone,stroll,aston_martin,21,21,Lapped,0.0,16
2026-09-silverstone|perez,2026-09-silverstone,perez,cadillac,18,22,Lapped,0.0,16
2026-12-zandvoort|russell,2026-12-zandvoort,russell,mercedes,1,1,Finished,8.0,24
2026-12-zandvoort|leclerc,2026-12-zandvoort,leclerc,ferrari,3,2,Finished,7.0,24
2026-12-zandvoort|norris,2026-12-zandvoort,norris,mclaren,2,3,Finished,6.0,24
2026-12-zandvoort|antonelli,2026-12-zandvoort,antonelli,mercedes,5,4,Finished,5.0,24
2026-12-zandvoort|piastri,2026-12-zandvoort,piastri,mclaren,4,5,Finished,4.0,24
2026-12-zandvoort|max_verstappen,2026-12-zandvoort,max_verstappen,red_bull,6,6,Finished,3.0,24
2026-12-zandvoort|hamilton,2026-12-zandvoort,hamilton,ferrari,7,7,Finished,2.0,24
2026-12-zandvoort|gasly,2026-12-zandvoort,gasly,alpine,8,8,Finished,1.0,24
2026-12-zandvoort|bortoleto,2026-12-zandvoort,bortoleto,audi,9,9,Finished,0.0,24
2026-12-zandvoort|arvid_lindblad,2026-12-zandvoort,arvid_lindblad,rb,10,10,Finished,0.0,24
