position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,33,False,False,False,73.402,0.0,1285,11281
2,63,35,False,False,False,73.544,0.142,1285,11281
3,44,36,False,False,False,74.176,0.774,1285,11281
4,16,36,False,False,False,74.355,0.953,1285,11281
5,3,31,False,False,False,74.366,0.964,1285,11281
6,1,32,False,False,False,74.799,1.397,1285,11281
7,81,32,False,False,False,74.963,1.561,1285,11281
8,41,33,False,False,False,75.452,2.05,1285,11281
9,27,28,False,False,False,75.698,2.296,1285,11281
10,14,31,False,False,False,75.863,2.461,1285,11281
11,5,33,False,False,False,76.214,2.812,1285,11281
12,6,29,False,False,False,76.253,2.851,1285,11281
13,31,32,False,False,False,76.497,3.095,1285,11281
14,23,15,False,False,False,76.642,3.24,1285,11281
15,55,36,False,False,False,76.66,3.258,1285,11281
16,10,29,False,False,False,76.809,3.407,1285,11281
17,18,30,False,False,False,76.978,3.576,1285,11281
18,30,5,False,False,False,77.431,4.029,1285,11281
19,87,26,False,False,False,77.77,4.368,1285,11281
20,77,28,False,False,False,77.868,4.466,1285,11281
21,11,28,False,False,False,77.926,4.524,1285,11281
22,43,1,False,False,False,,,1285,11281
