date,session_key,track_temperature,wind_direction,air_temperature,meeting_key,wind_speed,rainfall,humidity,pressure
2026-05-22T16:35:34.796000+00:00,11281,37.1,208,16.3,1285,2.0,0,28.4,1028.6
2026-05-22T16:36:34.794000+00:00,11281,37.4,256,16.3,1285,1.1,0,28.3,1028.6
2026-05-22T16:37:34.795000+00:00,11281,38.4,188,16.3,1285,2.7,0,28.5,1028.6
2026-05-22T16:38:34.815000+00:00,11281,38.3,215,16.4,1285,1.5,0,28.0,1028.6
2026-05-22T16:39:34.830000+00:00,11281,38.7,180,16.4,1285,1.2,0,27.9,1028.6
2026-05-22T16:40:34.848000+00:00,11281,38.8,183,16.3,1285,0.8,0,27.4,1028.7
2026-05-22T16:41:34.849000+00:00,11281,38.8,145,16.4,1285,2.8,0,27.6,1028.6
2026-05-22T16:42:34.846000+00:00,11281,38.8,160,16.3,1285,2.6,0,28.0,1028.6
2026-05-22T16:43:34.863000+00:00,11281,38.7,182,16.2,1285,0.8,0,27.4,1028.7
2026-05-22T16:44:34.887000+00:00,11281,38.7,182,16.2,1285,0.8,0,27.4,1028.7
2026-05-22T16:45:34.881000+00:00,11281,39.3,169,16.1,1285,1.2,0,28.3,1028.6
2026-05-22T16:46:34.881000+00:00,11281,39.0,176,16.2,1285,1.4,0,28.9,1028.7
2026-05-22T16:47:34.885000+00:00,11281,38.9,163,16.3,1285,3.2,0,28.8,1028.5
2026-05-22T16:48:34.885000+00:00,11281,39.3,174,16.4,1285,1.4,0,29.1,1028.6
2026-05-22T16:49:34.883000+00:00,11281,39.5,170,16.6,1285,2.4,0,30.2,1028.6
2026-05-22T16:50:34.883000+00:00,11281,39.2,166,16.7,1285,2.1,0,28.4,1028.5
2026-05-22T16:51:34.885000+00:00,11281,39.0,167,16.6,1285,2.3,0,28.4,1028.5
2026-05-22T16:52:34.884000+00:00,11281,39.0,192,16.7,1285,2.2,0,27.9,1028.6
2026-05-22T16:53:34.885000+00:00,11281,39.0,202,16.6,1285,1.4,0,27.9,1028.5
2026-05-22T16:54:34.889000+00:00,11281,38.8,181,16.6,1285,1.9,0,28.2,1028.5
2026-05-22T16:55:34.886000+00:00,11281,38.8,181,16.6,1285,1.9,0,28.2,1028.5
2026-05-22T16:56:34.889000+00:00,11281,39.6,180,16.7,1285,1.5,0,28.4,1028.5
2026-05-22T16:57:34.888000+00:00,11281,39.8,174,16.8,1285,1.5,0,28.8,1028.4
2026-05-22T16:58:34.938000+00:00,11281,39.1,239,17.0,1285,0.4,0,29.6,1028.4
2026-05-22T16:59:34.889000+00:00,11281,40.3,184,17.2,1285,2.5,0,29.1,1028.3
2026-05-22T17:00:34.893000+00:00,11281,40.0,185,17.1,1285,2.4,0,28.0,1028.4
2026-05-22T17:01:34.891000+00:00,11281,40.2,184,17.0,1285,2.2,0,27.3,1028.4
2026-05-22T17:02:34.913000+00:00,11281,40.0,177,16.9,1285,2.5,0,27.8,1028.3
2026-05-22T17:03:34.892000+00:00,11281,40.1,174,16.6,1285,1.5,0,28.1,1028.3
2026-05-22T17:04:34.893000+00:00,11281,39.9,175,16.5,1285,3.4,0,28.1,1028.2
2026-05-22T17:05:34.894000+00:00,11281,40.3,180,16.4,1285,1.6,0,28.5,1028.3
2026-05-22T17:06:34.898000+00:00,11281,40.3,180,16.4,1285,1.6,0,28.5,1028.3
2026-05-22T17:07:34.897000+00:00,11281,40.2,174,16.5,1285,2.2,0,28.6,1028.2
2026-05-22T17:08:34.895000+00:00,11281,40.5,194,16.6,1285,1.7,0,28.0,1028.2
2026-05-22T17:09:34.898000+00:00,11281,40.3,173,16.6,1285,1.3,0,28.1,1028.2
2026-05-22T17:10:34.896000+00:00,11281,40.3,173,16.6,1285,1.3,0,28.1,1028.2
2026-05-22T17:11:34.898000+00:00,11281,40.4,179,16.7,1285,2.8,0,27.4,1028.2
2026-05-22T17:12:34.904000+00:00,11281,40.1,183,16.7,1285,2.4,0,27.6,1028.1
2026-05-22T17:13:34.898000+00:00,11281,40.1,183,16.8,1285,2.4,0,27.6,1028.1
2026-05-22T17:14:34.901000+00:00,11281,40.8,186,16.8,1285,1.7,0,27.8,1028.2
2026-05-22T17:15:34.902000+00:00,11281,40.7,184,16.9,1285,2.6,0,27.7,1028.1
2026-05-22T17:16:34.902000+00:00,11281,40.5,178,16.9,1285,1.3,0,27.7,1028.1
2026-05-22T17:17:34.903000+00:00,11281,40.6,182,16.9,1285,1.1,0,28.1,1028.1
2026-05-22T17:18:34.904000+00:00,11281,40.2,187,16.8,1285,0.8,0,27.9,1028.1
2026-05-22T17:19:34.904000+00:00,11281,40.8,173,16.8,1285,1.9,0,27.6,1028.1
2026-05-22T17:20:34.904000+00:00,11281,40.3,224,16.8,1285,0.8,0,27.3,1028.0
2026-05-22T17:21:34.905000+00:00,11281,40.3,224,16.8,1285,0.8,0,27.3,1028.0
2026-05-22T17:22:34.909000+00:00,11281,41.0,203,17.0,1285,1.9,0,28.5,1027.9
2026-05-22T17:23:34.908000+00:00,11281,40.9,178,17.0,1285,1.2,0,28.3,1028.0
2026-05-22T17:24:34.908000+00:00,11281,40.7,198,17.0,1285,1.9,0,27.9,1027.9
2026-05-22T17:25:34.908000+00:00,11281,40.5,191,17.1,1285,2.7,0,28.4,1027.9
2026-05-22T17:26:34.909000+00:00,11281,40.3,179,17.1,1285,2.8,0,28.1,1027.9
2026-05-22T17:27:34.908000+00:00,11281,40.2,193,17.2,1285,1.8,0,27.8,1027.9
2026-05-22T17:28:34.918000+00:00,11281,40.6,191,17.1,1285,2.4,0,27.2,1027.8
2026-05-22T17:29:34.915000+00:00,11281,40.4,251,16.9,1285,1.1,0,27.7,1027.8
2026-05-22T17:30:34.912000+00:00,11281,40.9,189,17.0,1285,1.6,0,27.4,1027.9
2026-05-22T17:31:34.912000+00:00,11281,41.0,196,17.0,1285,2.6,0,26.8,1027.8
2026-05-22T17:32:34.913000+00:00,11281,41.5,176,17.1,1285,1.5,0,26.6,1027.8
2026-05-22T17:33:34.913000+00:00,11281,41.6,161,17.2,1285,1.3,0,26.4,1027.8
2026-05-22T17:34:34.953000+00:00,11281,41.5,174,17.2,1285,2.4,0,27.1,1027.9
2026-05-22T17:35:34.960000+00:00,11281,41.8,170,17.3,1285,1.9,0,27.7,1027.8
2026-05-22T17:36:34.967000+00:00,11281,41.5,162,17.3,1285,2.4,0,25.4,1027.9
2026-05-22T17:37:34.967000+00:00,11281,41.4,175,17.2,1285,2.8,0,27.1,1027.9
2026-05-22T17:38:34.967000+00:00,11281,41.0,166,17.2,1285,2.1,0,26.1,1027.9
2026-05-22T17:39:35.003000+00:00,11281,41.3,182,17.2,1285,2.4,0,26.6,1027.8
2026-05-22T17:40:34.980000+00:00,11281,41.3,170,17.2,1285,3.0,0,26.8,1027.9
2026-05-22T17:41:34.996000+00:00,11281,41.2,172,17.3,1285,3.3,0,26.4,1027.8
2026-05-22T17:42:35.015000+00:00,11281,41.1,186,17.3,1285,2.5,0,26.9,1027.9
2026-05-22T17:43:35.016000+00:00,11281,41.0,187,17.2,1285,2.9,0,26.4,1027.9
2026-05-22T17:44:35.037000+00:00,11281,41.0,190,17.2,1285,3.1,0,27.2,1027.8
2026-05-22T17:45:35.048000+00:00,11281,41.1,186,17.3,1285,4.1,0,26.4,1027.8
2026-05-22T17:46:35.048000+00:00,11281,41.7,175,17.2,1285,3.3,0,28.5,1027.8
2026-05-22T17:47:35.048000+00:00,11281,41.1,188,17.3,1285,3.5,0,27.6,1027.8
2026-05-22T17:48:35.050000+00:00,11281,41.5,178,17.2,1285,3.2,0,27.6,1027.7
2026-05-22T17:49:35.049000+00:00,11281,41.3,171,17.1,1285,3.1,0,28.0,1027.8
2026-05-22T17:50:35.051000+00:00,11281,41.7,177,17.2,1285,3.2,0,29.1,1027.8
2026-05-22T17:51:35.051000+00:00,11281,41.4,173,17.2,1285,1.8,0,27.6,1027.8
2026-05-22T17:52:35.052000+00:00,11281,41.7,279,17.2,1285,0.7,0,30.7,1027.8
2026-05-22T17:53:35.091000+00:00,11281,42.0,157,17.3,1285,4.0,0,28.6,1027.7
2026-05-22T17:54:35.069000+00:00,11281,41.8,236,17.4,1285,1.9,0,29.0,1027.7
2026-05-22T17:55:35.056000+00:00,11281,42.1,174,17.4,1285,2.9,0,27.9,1027.8
2026-05-22T17:56:35.060000+00:00,11281,42.1,188,17.4,1285,1.9,0,28.4,1027.7
2026-05-22T17:57:35.054000+00:00,11281,42.0,186,17.4,1285,4.5,0,28.8,1027.5
