date,session_key,track_temperature,wind_direction,air_temperature,meeting_key,wind_speed,rainfall,humidity,pressure
2026-05-22T16:16:34.707000+00:00,11281,36.5,183,15.6,1285,2.6,0,30.8,1028.9
2026-05-22T16:17:34.721000+00:00,11281,36.7,183,15.6,1285,2.5,0,30.3,1029.0
2026-05-22T16:18:34.736000+00:00,11281,36.5,172,15.7,1285,2.6,0,31.1,1028.9
2026-05-22T16:19:34.737000+00:00,11281,36.8,179,15.6,1285,3.3,0,30.5,1029.0
2026-05-22T16:20:34.741000+00:00,11281,36.7,179,15.6,1285,3.1,0,29.8,1028.8
2026-05-22T16:21:34.740000+00:00,11281,36.8,180,15.5,1285,2.5,0,29.1,1028.9
2026-05-22T16:22:34.740000+00:00,11281,36.9,180,15.5,1285,3.5,0,29.2,1028.9
2026-05-22T16:23:34.740000+00:00,11281,37.1,171,15.6,1285,2.3,0,29.1,1028.9
2026-05-22T16:24:34.746000+00:00,11281,37.1,174,15.6,1285,2.3,0,28.6,1029.0
2026-05-22T16:25:34.740000+00:00,11281,37.2,174,15.6,1285,2.9,0,29.7,1028.9
2026-05-22T16:26:34.745000+00:00,11281,37.2,160,15.7,1285,4.0,0,29.6,1028.9
2026-05-22T16:27:34.741000+00:00,11281,37.7,179,15.7,1285,1.5,0,29.0,1028.9
2026-05-22T16:28:34.746000+00:00,11281,37.6,172,15.8,1285,2.3,0,29.3,1028.9
2026-05-22T16:29:34.762000+00:00,11281,37.6,187,15.8,1285,3.7,0,30.0,1028.8
2026-05-22T16:30:34.768000+00:00,11281,37.6,176,15.8,1285,3.1,0,28.4,1028.8
2026-05-22T16:31:34.780000+00:00,11281,37.7,174,15.8,1285,2.5,0,29.9,1028.8
2026-05-22T16:32:34.794000+00:00,11281,37.5,185,15.8,1285,3.4,0,29.8,1028.8
2026-05-22T16:33:34.792000+00:00,11281,37.5,185,15.8,1285,3.4,0,29.8,1028.8
2026-05-22T16:34:34.797000+00:00,11281,37.3,248,16.1,1285,0.6,0,30.4,1028.6
