date,session_key,lap_number,driver_number,lane_duration,meeting_key,pit_duration,stop_duration
2026-05-22T17:39:56.054000+00:00,11281,20,87,617.7,1285,617.7,
2026-05-22T17:40:17.682000+00:00,11281,24,6,444.4,1285,444.4,
2026-05-22T17:42:11.376000+00:00,11281,24,11,662.0,1285,662.0,
2026-05-22T17:42:35.590000+00:00,11281,24,77,43.4,1285,43.4,
2026-05-22T17:48:04.140000+00:00,11281,29,81,362.0,1285,362.0,
2026-05-22T17:48:06.475000+00:00,11281,29,1,1078.1,1285,1078.1,
2026-05-22T17:48:08.717000+00:00,11281,32,63,318.2,1285,318.2,
2026-05-22T17:48:10.697000+00:00,11281,30,12,487.2,1285,487.2,
2026-05-22T17:48:12.063000+00:00,11281,33,55,959.6,1285,959.6,
2026-05-22T17:48:14.881000+00:00,11281,26,10,910.3,1285,910.3,
2026-05-22T17:48:16.307000+00:00,11281,25,77,384.1,1285,384.1,
2026-05-22T17:48:19.444000+00:00,11281,33,16,1137.1,1285,1137.1,
2026-05-22T17:48:22.696000+00:00,11281,23,87,1124.4,1285,1124.4,
2026-05-22T17:48:25.155000+00:00,11281,25,11,1035.8,1285,1035.8,
2026-05-22T17:48:26.099000+00:00,11281,28,3,945.2,1285,945.2,
2026-05-22T17:48:29.707000+00:00,11281,30,5,1005.7,1285,1005.7,
2026-05-22T17:48:38.048000+00:00,11281,26,6,944.6,1285,944.6,
2026-05-22T17:48:42.410000+00:00,11281,27,18,916.8,1285,916.8,
2026-05-22T17:48:48.285000+00:00,11281,28,14,1177.6,1285,1177.6,
2026-05-22T17:48:53.693000+00:00,11281,33,44,974.1,1285,974.1,
2026-05-22T17:48:55.162000+00:00,11281,30,41,1152.7,1285,1152.7,
2026-05-22T17:48:57.244000+00:00,11281,25,27,854.5,1285,854.5,
2026-05-22T17:49:02.613000+00:00,11281,29,31,1053.7,1285,1053.7,
