date,session_key,wind_speed,track_temperature,wind_direction,rainfall,meeting_key,pressure,humidity,air_temperature
2026-06-07T12:08:17.050000+00:00,11299,0.5,33.1,244,0,1286,1022.1,64.7,23.3
2026-06-07T12:09:17.067000+00:00,11299,0.0,34.0,0,0,1286,1022.0,64.1,23.4
2026-06-07T12:10:17.052000+00:00,11299,0.0,34.0,0,0,1286,1022.0,64.1,23.0
2026-06-07T12:11:17.047000+00:00,11299,0.0,34.4,0,0,1286,1022.1,63.5,23.3
2026-06-07T12:12:17.049000+00:00,11299,0.5,35.1,131,0,1286,1022.1,63.7,23.5
2026-06-07T12:13:17.049000+00:00,11299,0.0,35.4,0,0,1286,1022.1,63.4,23.4
2026-06-07T12:14:17.054000+00:00,11299,0.0,35.4,0,0,1286,1022.1,63.4,23.4
2026-06-07T12:15:17.055000+00:00,11299,1.4,34.3,340,0,1286,1022.0,62.6,23.8
2026-06-07T12:16:17.059000+00:00,11299,1.4,34.3,340,0,1286,1022.0,62.6,22.9
2026-06-07T12:17:17.075000+00:00,11299,0.7,36.6,153,0,1286,1022.0,64.5,23.8
2026-06-07T12:18:17.050000+00:00,11299,0.7,36.6,153,0,1286,1022.0,64.5,23.8
2026-06-07T12:19:17.062000+00:00,11299,0.5,37.5,53,0,1286,1022.0,64.1,24.0
2026-06-07T12:20:17.057000+00:00,11299,0.5,37.5,53,0,1286,1022.0,64.1,24.0
2026-06-07T12:21:17.063000+00:00,11299,0.5,37.5,53,0,1286,1022.0,64.1,23.1
2026-06-07T12:22:17.063000+00:00,11299,0.0,38.2,0,0,1286,1022.0,62.5,23.3
2026-06-07T12:23:17.064000+00:00,11299,0.0,38.2,0,0,1286,1022.0,62.5,23.3
2026-06-07T12:24:17.055000+00:00,11299,0.0,36.1,0,0,1286,1022.0,61.5,23.5
2026-06-07T12:25:17.060000+00:00,11299,0.0,36.1,0,0,1286,1022.0,61.5,23.5
2026-06-07T12:26:17.065000+00:00,11299,0.5,37.6,333,0,1286,1022.0,59.1,23.8
2026-06-07T12:27:17.063000+00:00,11299,0.5,36.2,144,0,1286,1021.9,59.0,22.6
2026-06-07T12:28:17.068000+00:00,11299,0.5,36.2,144,0,1286,1021.9,59.0,22.6
2026-06-07T12:29:17.058000+00:00,11299,1.2,36.9,210,0,1286,1021.9,61.2,22.8
2026-06-07T12:30:17.067000+00:00,11299,1.2,36.9,210,0,1286,1021.9,61.2,23.0
2026-06-07T12:31:17.087000+00:00,11299,1.2,36.9,210,0,1286,1021.9,61.2,23.0
2026-06-07T12:32:17.071000+00:00,11299,0.4,34.5,119,0,1286,1021.9,59.3,24.3
2026-06-07T12:33:17.072000+00:00,11299,0.4,34.5,119,0,1286,1021.9,59.3,23.7
2026-06-07T12:34:17.071000+00:00,11299,0.5,39.9,141,0,1286,1021.8,61.0,24.0
2026-06-07T12:35:17.073000+00:00,11299,0.3,39.4,150,0,1286,1021.8,61.2,23.9
2026-06-07T12:36:17.070000+00:00,11299,0.0,39.2,0,0,1286,1021.8,61.3,23.9
2026-06-07T12:37:17.070000+00:00,11299,0.4,40.6,61,0,1286,1021.8,60.6,23.9
2026-06-07T12:38:17.070000+00:00,11299,0.8,40.8,163,0,1286,1021.9,61.0,23.9
2026-06-07T12:39:17.064000+00:00,11299,0.6,38.3,152,0,1286,1021.8,61.0,23.7
2026-06-07T12:40:17.077000+00:00,11299,0.5,40.2,131,0,1286,1021.9,61.6,23.6
