date,session_key,lane_duration,meeting_key,pit_duration,stop_duration,lap_number,driver_number
2026-06-07T13:05:11.097000+00:00,11299,26.7,1286,26.7,,1,77
2026-06-07T13:05:11.753000+00:00,11299,25.9,1286,25.9,,1,5
2026-06-07T13:05:15.738000+00:00,11299,32.1,1286,32.1,,1,87
2026-06-07T13:07:51.620000+00:00,11299,24.9,1286,24.9,,3,14
2026-06-07T13:09:10.136000+00:00,11299,27.1,1286,27.1,,4,11
2026-06-07T13:09:14.620000+00:00,11299,24.8,1286,24.8,,4,18
2026-06-07T13:15:47.335000+00:00,11299,25.4,1286,25.4,,9,31
2026-06-07T13:15:59.835000+00:00,11299,19.7,1286,19.7,,9,11
2026-06-07T13:19:39.858000+00:00,11299,24.8,1286,24.8,,12,27
2026-06-07T13:39:40.204000+00:00,11299,24.1,1286,24.1,,28,44
2026-06-07T13:44:09.388000+00:00,11299,24.0,1286,24.0,,31,63
2026-06-07T13:45:28.474000+00:00,11299,24.7,1286,24.7,,32,6
2026-06-07T13:48:48.285000+00:00,11299,25.3,1286,25.3,,35,16
2026-06-07T13:50:05.535000+00:00,11299,25.7,1286,25.7,,35,43
2026-06-07T13:50:58.679000+00:00,11299,24.1,1286,24.1,,37,12
2026-06-07T14:00:37.472000+00:00,11299,25.5,1286,25.5,,43,23
2026-06-07T14:01:33.347000+00:00,11299,24.6,1286,24.6,,43,5
2026-06-07T14:01:42.457000+00:00,11299,25.6,1286,25.6,,44,30
2026-06-07T14:02:41.495000+00:00,11299,25.5,1286,25.5,,45,10
2026-06-07T14:06:31.029000+00:00,11299,24.2,1286,24.2,,48,81
2026-06-07T14:12:46.971000+00:00,11299,25.6,1286,25.6,,52,55
2026-06-07T14:21:17.307000+00:00,11299,20.5,1286,20.5,,58,27
2026-06-07T14:21:25.635000+00:00,11299,31.4,1286,31.4,,59,81
2026-06-07T14:21:26.073000+00:00,11299,31.2,1286,31.2,,60,44
2026-06-07T14:21:34.338000+00:00,11299,26.3,1286,26.3,,58,14
2026-06-07T14:21:34.463000+00:00,11299,34.9,1286,34.9,,60,16
2026-06-07T14:22:10.057000+00:00,11299,20.3,1286,20.3,,58,5
2026-06-07T14:22:39.778000+00:00,11299,26.8,1286,26.8,,61,12
2026-06-07T14:22:46.086000+00:00,11299,19.6,1286,19.6,,60,6
2026-06-07T14:22:50.085000+00:00,11299,35.2,1286,35.2,,60,63
2026-06-07T14:22:51.100000+00:00,11299,20.2,1286,20.2,,59,41
2026-06-07T14:22:52.596000+00:00,11299,19.7,1286,19.7,,59,23
2026-06-07T14:22:54.064000+00:00,11299,19.8,1286,19.8,,59,55
2026-06-07T14:23:09.338000+00:00,11299,19.9,1286,19.9,,59,31
2026-06-07T14:23:11.197000+00:00,11299,19.9,1286,19.9,,59,27
2026-06-07T14:23:14.713000+00:00,11299,21.9,1286,21.9,,59,43
2026-06-07T14:23:15.900000+00:00,11299,19.8,1286,19.8,,60,10
2026-06-07T14:23:20.338000+00:00,11299,20.1,1286,20.1,,60,81
2026-06-07T14:23:26.682000+00:00,11299,24.2,1286,24.2,,61,44
2026-06-07T14:23:27.510000+00:00,11299,20.2,1286,20.2,,59,14
2026-06-07T14:23:29.885000+00:00,11299,20.0,1286,20.0,,61,16
2026-06-07T14:23:41.002000+00:00,11299,19.9,1286,19.9,,60,30
2026-06-07T14:23:51.502000+00:00,11299,26.0,1286,26.0,,59,11
2026-06-07T14:24:06.813000+00:00,11299,24.8,1286,24.8,,59,5
2026-06-07T14:32:43.844000+00:00,11299,20.7,1286,20.7,,66,12
2026-06-07T14:32:47.250000+00:00,11299,22.5,1286,22.5,,66,44
2026-06-07T14:32:48.418000+00:00,11299,22.3,1286,22.3,,66,6
2026-06-07T14:32:50.457000+00:00,11299,22.5,1286,22.5,,66,63
2026-06-07T14:32:52.040000+00:00,11299,22.7,1286,22.7,,65,41
2026-06-07T14:32:53.440000+00:00,11299,22.7,1286,22.7,,65,23
2026-06-07T14:32:54.289000+00:00,11299,22.1,1286,22.1,,65,55
2026-06-07T14:32:55.584000+00:00,11299,21.4,1286,21.4,,65,31
2026-06-07T14:32:57.280000+00:00,11299,22.3,1286,22.3,,65,27
2026-06-07T14:33:01.288000+00:00,11299,23.3,1286,23.3,,66,10
2026-06-07T14:33:02.693000+00:00,11299,23.3,1286,23.3,,65,43
2026-06-07T14:33:03.979000+00:00,11299,23.4,1286,23.4,,66,81
2026-06-07T14:33:05.205000+00:00,11299,24.0,1286,24.0,,65,14
2026-06-07T14:33:06.706000+00:00,11299,23.8,1286,23.8,,65,11
2026-06-07T14:33:07.685000+00:00,11299,22.7,1286,22.7,,65,5
2026-06-07T14:33:11.784000+00:00,11299,20.3,1286,20.3,,66,30
2026-06-07T15:10:07.188000+00:00,11299,2023.0,1286,2023.0,,67,41
2026-06-07T15:10:09.758000+00:00,11299,2024.1,1286,2024.1,,67,23
2026-06-07T15:10:12.693000+00:00,11299,2025.7,1286,2025.7,,67,55
2026-06-07T15:10:14.530000+00:00,11299,2025.9,1286,2025.9,,67,31
2026-06-07T15:10:17.140000+00:00,11299,2027.0,1286,2027.0,,67,27
2026-06-07T15:10:18.492000+00:00,11299,2025.8,1286,2025.8,,67,43
2026-06-07T15:10:21.680000+00:00,11299,2024.7,1286,2024.7,,67,14
2026-06-07T15:10:25.367000+00:00,11299,2026.8,1286,2026.8,,67,11
2026-06-07T15:10:29.774000+00:00,11299,2029.9,1286,2029.9,,67,5
2026-06-07T15:12:12.024000+00:00,11299,2154.1,1286,2154.1,,68,12
2026-06-07T15:12:15.196000+00:00,11299,2156.2,1286,2156.2,,68,44
2026-06-07T15:12:17.821000+00:00,11299,2156.6,1286,2156.6,,68,6
2026-06-07T15:12:20.728000+00:00,11299,2158.1,1286,2158.1,,68,63
2026-06-07T15:12:23.290000+00:00,11299,2151.5,1286,2151.5,,68,10
2026-06-07T15:12:26.556000+00:00,11299,2151.4,1286,2151.4,,68,81
2026-06-07T15:12:29.165000+00:00,11299,2146.0,1286,2146.0,,68,30
2026-06-07T15:12:32.696000+00:00,11299,62.5,1286,62.5,,68,41
2026-06-07T15:12:34.790000+00:00,11299,62.2,1286,62.2,,68,23
2026-06-07T15:12:37.618000+00:00,11299,61.9,1286,61.9,,68,55
2026-06-07T15:12:39.884000+00:00,11299,62.6,1286,62.6,,68,31
2026-06-07T15:12:42.993000+00:00,11299,61.9,1286,61.9,,68,27
2026-06-07T15:12:48.759000+00:00,11299,64.4,1286,64.4,,68,43
2026-06-07T15:12:51.994000+00:00,11299,64.9,1286,64.9,,68,14
2026-06-07T15:12:54.552000+00:00,11299,65.8,1286,65.8,,68,11
2026-06-07T15:12:56.029000+00:00,11299,63.9,1286,63.9,,68,5
2026-06-07T15:19:38.018000+00:00,11299,19.7,1286,19.7,,72,63
