date,session_key,humidity,pressure,wind_direction,air_temperature,meeting_key,track_temperature,wind_speed,rainfall
2026-05-23T20:52:40.947000+00:00,11287,24.6,1028.5,325,21.4,1285,30.5,0.8,0
2026-05-23T20:53:40.947000+00:00,11287,24.6,1028.5,325,21.4,1285,30.5,0.8,0
2026-05-23T20:54:40.960000+00:00,11287,24.5,1028.6,226,21.4,1285,30.8,0.8,0
2026-05-23T20:55:40.951000+00:00,11287,24.2,1028.5,0,21.4,1285,30.6,0.0,0
2026-05-23T20:56:40.945000+00:00,11287,24.6,1028.5,202,21.4,1285,30.8,1.5,0
2026-05-23T20:57:40.950000+00:00,11287,24.2,1028.6,278,21.4,1285,30.5,0.7,0
2026-05-23T20:58:40.948000+00:00,11287,24.6,1028.5,295,21.9,1285,31.0,1.3,0
2026-05-23T20:59:40.952000+00:00,11287,24.4,1028.6,266,21.5,1285,30.7,0.5,0
2026-05-23T21:00:40.952000+00:00,11287,24.4,1028.6,266,21.7,1285,30.7,0.5,0
2026-05-23T21:01:40.962000+00:00,11287,24.3,1028.6,345,21.5,1285,30.8,1.1,0
2026-05-23T21:02:40.990000+00:00,11287,24.1,1028.6,219,21.6,1285,30.7,1.4,0
2026-05-23T21:03:40.991000+00:00,11287,23.7,1028.5,233,21.5,1285,30.4,1.3,0
2026-05-23T21:04:41.044000+00:00,11287,23.7,1028.5,233,21.5,1285,30.4,1.3,0
2026-05-23T21:05:41.005000+00:00,11287,24.1,1028.5,222,21.4,1285,29.8,0.9,0
2026-05-23T21:06:41.004000+00:00,11287,24.1,1028.6,249,21.4,1285,30.2,0.8,0
