date,session_key,lane_duration,meeting_key,pit_duration,stop_duration,lap_number,driver_number
2026-05-23T20:00:02.712000+00:00,11287,,1285,,,1,23
2026-05-23T20:00:08.895000+00:00,11287,,1285,,,1,30
2026-05-23T20:00:14.667000+00:00,11287,,1285,,,1,87
2026-05-23T20:00:18.733000+00:00,11287,,1285,,,1,31
2026-05-23T20:00:22.360000+00:00,11287,,1285,,,1,55
2026-05-23T20:00:29.368000+00:00,11287,,1285,,,1,41
2026-05-23T20:00:30.356000+00:00,11287,,1285,,,1,10
2026-05-23T20:00:33.833000+00:00,11287,,1285,,,1,77
2026-05-23T20:00:38.160000+00:00,11287,,1285,,,1,11
2026-05-23T20:00:43.727000+00:00,11287,,1285,,,1,18
2026-05-23T20:00:54.972000+00:00,11287,,1285,,,1,14
2026-05-23T20:00:56.085000+00:00,11287,,1285,,,1,43
2026-05-23T20:01:12.069000+00:00,11287,,1285,,,1,1
2026-05-23T20:01:15.770000+00:00,11287,,1285,,,1,81
2026-05-23T20:01:22.079000+00:00,11287,,1285,,,1,5
2026-05-23T20:01:39.002000+00:00,11287,,1285,,,1,27
2026-05-23T20:01:43.398000+00:00,11287,,1285,,,1,63
2026-05-23T20:01:51.373000+00:00,11287,,1285,,,1,12
2026-05-23T20:02:07.362000+00:00,11287,,1285,,,1,44
2026-05-23T20:02:14.226000+00:00,11287,,1285,,,1,16
2026-05-23T20:02:19.171000+00:00,11287,,1285,,,1,3
2026-05-23T20:03:26.048000+00:00,11287,,1285,,,1,6
2026-05-23T20:06:50.948000+00:00,11287,27.6,1285,27.6,,5,41
2026-05-23T20:09:19.481000+00:00,11287,35.0,1285,35.0,,7,23
2026-05-23T20:09:53.993000+00:00,11287,176.2,1285,176.2,,5,1
2026-05-23T20:10:04.200000+00:00,11287,187.9,1285,187.9,,5,43
2026-05-23T20:10:08.149000+00:00,11287,134.6,1285,134.6,,6,10
2026-05-23T20:10:25.812000+00:00,11287,94.5,1285,94.5,,7,30
2026-05-23T20:10:56.370000+00:00,11287,145.9,1285,145.9,,6,81
2026-05-23T20:10:58.789000+00:00,11287,120.8,1285,120.8,,7,87
2026-05-23T20:11:00.068000+00:00,11287,107.3,1285,107.3,,7,31
2026-05-23T20:11:09.874000+00:00,11287,171.7,1285,171.7,,6,14
2026-05-23T20:11:12.206000+00:00,11287,121.1,1285,121.1,,7,55
