position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,24,False,False,False,"[73.953, 73.079, 72.578]","[0.573, 0.104, 0.0]",1285,11287
2,12,24,False,False,False,"[73.38, 73.076, 72.646]","[0.0, 0.101, 0.068]",1285,11287
3,1,28,False,False,False,"[73.503, 73.049, 72.729]","[0.123, 0.074, 0.151]",1285,11287
4,81,29,False,False,False,"[73.559, 73.285, 72.781]","[0.179, 0.31, 0.203]",1285,11287
5,44,27,False,False,False,"[73.767, 73.041, 72.868]","[0.387, 0.066, 0.29]",1285,11287
6,3,23,False,False,False,"[74.067, 73.479, 72.907]","[0.687, 0.504, 0.329]",1285,11287
7,6,22,False,False,False,"[73.654, 72.975, 72.935]","[0.274, 0.0, 0.357]",1285,11287
8,16,29,False,False,False,"[73.825, 73.496, 72.976]","[0.445, 0.521, 0.398]",1285,11287
9,41,28,False,False,False,"[73.895, 73.548, 73.28]","[0.515, 0.573, 0.702]",1285,11287
10,43,27,False,False,False,"[74.466, 73.857, 73.697]","[1.086, 0.882, 1.119]",1285,11287
11,27,21,False,False,False,"[74.562, 73.886, None]","[1.182, 0.911, None]",1285,11287
12,30,22,False,False,False,"[74.346, 73.897, None]","[0.966, 0.922, None]",1285,11287
13,5,22,False,False,False,"[74.775, 74.071, None]","[1.395, 1.096, None]",1285,11287
14,10,20,False,False,False,"[74.698, 74.187, None]","[1.318, 1.212, None]",1285,11287
15,55,21,False,False,False,"[74.276, 74.273, None]","[0.896, 1.298, None]",1285,11287
16,87,22,False,False,False,"[74.449, 74.416, None]","[1.069, 1.441, None]",1285,11287
17,31,12,False,False,False,"[74.845, None, None]","[1.465, None, None]",1285,11287
18,23,13,False,False,False,"[74.851, None, None]","[1.471, None, None]",1285,11287
19,14,11,False,False,False,"[75.196, None, None]","[1.816, None, None]",1285,11287
20,11,11,False,False,False,"[75.429, None, None]","[2.049, None, None]",1285,11287
21,18,10,False,False,False,"[76.195, None, None]","[2.815, None, None]",1285,11287
22,77,10,False,False,False,"[76.272, None, None]","[2.892, None, None]",1285,11287
