position,driver_number,lap_duration,meeting_key,session_key
1,63,72.578,1285,11287
2,12,72.646,1285,11287
3,1,72.729,1285,11287
4,81,72.781,1285,11287
5,44,72.868,1285,11287
6,3,72.907,1285,11287
7,6,72.935,1285,11287
8,16,72.976,1285,11287
9,41,73.28,1285,11287
10,43,73.697,1285,11287
11,27,73.886,1285,11287
12,30,73.897,1285,11287
13,5,74.071,1285,11287
14,10,74.187,1285,11287
15,55,74.273,1285,11287
16,87,74.416,1285,11287
17,31,74.845,1285,11287
18,23,74.851,1285,11287
19,14,75.196,1285,11287
20,11,75.429,1285,11287
21,77,76.272,1285,11287
22,18,76.195,1285,11287
