id,session_id,race_id,sample_order,sample_time,air_temp_c,track_temp_c,humidity_pct,pressure_hpa,rainfall,wind_speed_mps,wind_direction_deg,source_label
2026-01-albert_park|R|1,2026-01-albert_park|R,2026-01-albert_park,1,0 days 00:00:13.466000,23.1,36.2,55.8,1013.7,False,1.8,114,fastf1_session_weather_v1
2026-01-albert_park|R|2,2026-01-albert_park|R,2026-01-albert_park,2,0 days 00:01:13.482000,23.2,35.9,55.1,1013.6,False,3.0,110,fastf1_session_weather_v1
2026-01-albert_park|R|3,2026-01-albert_park|R,2026-01-albert_park,3,0 days 00:02:13.483000,23.2,35.6,55.2,1013.6,False,3.2,115,fastf1_session_weather_v1
2026-01-albert_park|R|4,2026-01-albert_park|R,2026-01-albert_park,4,0 days 00:03:13.485000,23.1,35.7,55.7,1013.7,False,3.4,104,fastf1_session_weather_v1
2026-01-albert_park|R|5,2026-01-albert_park|R,2026-01-albert_park,5,0 days 00:04:13.518000,23.1,35.8,55.8,1013.8,False,3.1,108,fastf1_session_weather_v1
2026-01-albert_park|R|6,2026-01-albert_park|R,2026-01-albert_park,6,0 days 00:05:13.531000,23.2,35.7,55.5,1013.7,False,3.4,109,fastf1_session_weather_v1
2026-01-albert_park|R|7,2026-01-albert_park|R,2026-01-albert_park,7,0 days 00:06:13.532000,23.2,35.5,55.7,1013.6,False,1.7,128,fastf1_session_weather_v1
2026-01-albert_park|R|8,2026-01-albert_park|R,2026-01-albert_park,8,0 days 00:07:13.522000,23.1,35.7,56.6,1013.7,False,2.1,106,fastf1_session_weather_v1
2026-01-albert_park|R|9,2026-01-albert_park|R,2026-01-albert_park,9,0 days 00:08:13.537000,23.1,35.4,57.0,1013.7,False,3.1,118,fastf1_session_weather_v1
2026-01-albert_park|R|10,2026-01-albert_park|R,2026-01-albert_park,10,0 days 00:09:13.538000,23.2,35.6,55.9,1013.5,False,2.4,154,fastf1_session_weather_v1
2026-01-albert_park|R|11,2026-01-albert_park|R,2026-01-albert_park,11,0 days 00:10:13.552000,23.1,36.0,56.6,1013.6,False,1.3,124,fastf1_session_weather_v1
2026-01-albert_park|R|12,2026-01-albert_park|R,2026-01-albert_park,12,0 days 00:11:13.569000,23.2,36.3,56.1,1013.6,False,1.6,98,fastf1_session_weather_v1
2026-01-albert_park|R|13,2026-01-albert_park|R,2026-01-albert_park,13,0 days 00:12:13.555000,23.1,36.7,56.1,1013.6,False,2.3,127,fastf1_session_weather_v1
2026-01-albert_park|R|14,2026-01-albert_park|R,2026-01-albert_park,14,0 days 00:13:13.569000,23.1,36.3,56.1,1013.5,False,3.2,109,fastf1_session_weather_v1
2026-01-albert_park|R|15,2026-01-albert_park|R,2026-01-albert_park,15,0 days 00:14:13.575000,23.1,36.3,56.1,1013.5,False,2.2,132,fastf1_session_weather_v1
2026-01-albert_park|R|16,2026-01-albert_park|R,2026-01-albert_park,16,0 days 00:15:13.555000,23.1,35.6,55.9,1013.5,False,3.8,131,fastf1_session_weather_v1
2026-01-albert_park|R|17,2026-01-albert_park|R,2026-01-albert_park,17,0 days 00:16:13.571000,23.1,35.6,56.0,1013.5,False,2.1,133,fastf1_session_weather_v1
