id,session_id,event_entry_id,race_id,driver_id,constructor_id,stint_number,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,session_code,source_label
2026-01-albert_park|R|hamilton|2,2026-01-albert_park|R,2026-01-albert_park|hamilton,2026-01-albert_park,hamilton,ferrari,2,HARD,30,83.59846666666668,-0.2082758620689652,-0.5733036707452726,1.0,30.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|lawson|1,2026-01-albert_park|R,2026-01-albert_park|lawson,2026-01-albert_park,lawson,rb,1,MEDIUM,11,90.33554545454544,-0.2786000000000001,-0.4090909090909091,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|lawson|2,2026-01-albert_park|R,2026-01-albert_park|lawson,2026-01-albert_park,lawson,rb,2,HARD,22,91.4751818181818,-0.5596190476190473,-0.233201581027668,1.0,22.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|lawson|3,2026-01-albert_park|R,2026-01-albert_park|lawson,2026-01-albert_park,lawson,rb,3,SOFT,24,84.90954166666667,-0.2004347826086962,0.1139130434782608,1.0,24.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|leclerc|1,2026-01-albert_park|R,2026-01-albert_park|leclerc,2026-01-albert_park,leclerc,ferrari,1,MEDIUM,25,89.57508,-0.3071250000000003,-0.2015384615384615,1.0,25.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|leclerc|2,2026-01-albert_park|R,2026-01-albert_park|leclerc,2026-01-albert_park,leclerc,ferrari,2,HARD,33,83.72554545454545,-0.1989999999999998,-0.1387032085561497,1.0,33.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|arvid_lindblad|1,2026-01-albert_park|R,2026-01-albert_park|arvid_lindblad,2026-01-albert_park,arvid_lindblad,rb,1,MEDIUM,18,91.06794444444444,0.3511764705882352,-0.001031991744066,1.0,18.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|arvid_lindblad|2,2026-01-albert_park|R,2026-01-albert_park|arvid_lindblad,2026-01-albert_park,arvid_lindblad,rb,2,HARD,39,86.13830769230769,-0.2825000000000003,0.1846247282085082,1.0,39.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|norris|1,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,1,MEDIUM,11,88.33936363636361,-0.1162999999999996,-0.3181818181818182,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|norris|2,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,2,HARD,23,89.84326086956521,0.1224090909090908,-0.1521739130434782,1.0,23.0,R,fastf1_session_stint_v1
