id,race_id,driver_id,constructor_id,source_label
2026-03-suzuka|sainz,2026-03-suzuka,sainz,williams,fastf1_entry_v1
2026-03-suzuka|stroll,2026-03-suzuka,stroll,aston_martin,fastf1_entry_v1
2026-03-suzuka|max_verstappen,2026-03-suzuka,max_verstappen,red_bull,fastf1_entry_v1
2026-04-miami|albon,2026-04-miami,albon,williams,fastf1_entry_v1
2026-04-miami|alonso,2026-04-miami,alonso,aston_martin,fastf1_entry_v1
2026-04-miami|antonelli,2026-04-miami,antonelli,mercedes,fastf1_entry_v1
2026-04-miami|bearman,2026-04-miami,bearman,haas,fastf1_entry_v1
2026-04-miami|bortoleto,2026-04-miami,bortoleto,audi,fastf1_entry_v1
2026-04-miami|bottas,2026-04-miami,bottas,cadillac,fastf1_entry_v1
2026-04-miami|colapinto,2026-04-miami,colapinto,alpine,fastf1_entry_v1
2026-04-miami|gasly,2026-04-miami,gasly,alpine,fastf1_entry_v1
2026-04-miami|hadjar,2026-04-miami,hadjar,red_bull,fastf1_entry_v1
2026-04-miami|hamilton,2026-04-miami,hamilton,ferrari,fastf1_entry_v1
2026-04-miami|hulkenberg,2026-04-miami,hulkenberg,audi,fastf1_entry_v1
2026-04-miami|lawson,2026-04-miami,lawson,rb,fastf1_entry_v1
2026-04-miami|leclerc,2026-04-miami,leclerc,ferrari,fastf1_entry_v1
2026-04-miami|arvid_lindblad,2026-04-miami,arvid_lindblad,rb,fastf1_entry_v1
2026-04-miami|norris,2026-04-miami,norris,mclaren,fastf1_entry_v1
2026-04-miami|ocon,2026-04-miami,ocon,haas,fastf1_entry_v1
2026-04-miami|perez,2026-04-miami,perez,cadillac,fastf1_entry_v1
2026-04-miami|piastri,2026-04-miami,piastri,mclaren,fastf1_entry_v1
2026-04-miami|russell,2026-04-miami,russell,mercedes,fastf1_entry_v1
2026-04-miami|sainz,2026-04-miami,sainz,williams,fastf1_entry_v1
2026-04-miami|stroll,2026-04-miami,stroll,aston_martin,fastf1_entry_v1
2026-04-miami|max_verstappen,2026-04-miami,max_verstappen,red_bull,fastf1_entry_v1
2026-05-villeneuve|albon,2026-05-villeneuve,albon,williams,fastf1_entry_v1
2026-05-villeneuve|alonso,2026-05-villeneuve,alonso,aston_martin,fastf1_entry_v1
2026-05-villeneuve|antonelli,2026-05-villeneuve,antonelli,mercedes,fastf1_entry_v1
2026-05-villeneuve|bearman,2026-05-villeneuve,bearman,haas,fastf1_entry_v1
2026-05-villeneuve|bortoleto,2026-05-villeneuve,bortoleto,audi,fastf1_entry_v1
2026-05-villeneuve|bottas,2026-05-villeneuve,bottas,cadillac,fastf1_entry_v1
