session_id,season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALB,Williams,regulations_2026_reset,1.25,57,84.63483333333333,84.375,88.09577777777778,-0.0206363636363636,318.0,23.678947368421053,36.04736842105263,54.957894736842114,False,2.2929824561403507,118.28070175438596,2.147166666666664,15.0,0.3960000000000008
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALO,Aston Martin,regulations_2026_reset,1.25,20,86.26016666666665,85.713,89.84992307692308,-0.06275,309.0,23.285,35.96000000000001,55.685,False,2.465,119.85,3.77249999999998,19.0,0.2452499999999986
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ANT,Mercedes,regulations_2026_reset,1.25,58,82.56633333333333,82.417,85.27062000000002,-0.0376734693877548,316.0,23.662068965517243,36.08620689655172,54.984482758620686,False,2.2103448275862068,121.15517241379312,0.0786666666666633,3.0,-0.0773333333333283
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BEA,Haas F1 Team,regulations_2026_reset,1.25,57,84.13033333333334,84.02,86.97791836734694,0.0134583333333333,322.0,23.666666666666668,36.08245614035087,54.968421052631584,False,2.289473684210526,117.4561403508772,1.6426666666666705,11.0,-0.2109166666666624
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOR,Audi,regulations_2026_reset,1.25,57,83.56150000000001,83.257,87.24328888888888,-0.0342272727272727,323.0,23.668421052631576,36.05789473684211,54.97192982456141,False,2.333333333333333,119.01754385964912,1.07383333333334,7.0,0.0
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOT,Cadillac,regulations_2026_reset,1.25,14,87.61716666666666,87.364,91.1591,0.3991111111111109,309.0,23.16428571428571,35.75,55.92857142857143,False,2.742857142857143,118.28571428571428,5.129499999999993,20.0,0.7380833333333214
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,COL,Alpine,regulations_2026_reset,1.25,56,83.57116666666666,82.926,89.40722916666668,-0.0827872340425533,321.0,23.673214285714288,35.989285714285714,54.99107142857143,False,2.3535714285714286,115.41071428571428,1.0834999999999866,8.0,-0.4832500000000124
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,GAS,Alpine,regulations_2026_reset,1.25,57,84.53766666666667,84.486,86.89846938775511,-0.0458958333333333,324.0,23.666666666666668,36.10350877192983,54.95964912280702,False,2.3877192982456146,119.49122807017544,2.049999999999997,13.0,0.4832499999999982
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,HAD,Red Bull Racing,regulations_2026_reset,1.25,10,85.34283333333333,85.239,85.43233333333335,0.0015999999999991,306.0,23.13,35.910000000000004,55.95,False,2.45,118.9,2.855166666666662,16.0,1.427583333333331
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,HAM,Ferrari,regulations_2026_reset,1.25,58,82.51533333333333,82.423,86.28390000000002,-0.0380612244897958,317.0,23.670689655172417,36.067241379310346,55.00517241379311,False,2.3086206896551724,118.56896551724138,0.0276666666666614,2.0,-0.1274999999999977
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LAW,Racing Bulls,regulations_2026_reset,1.25,57,83.93633333333334,83.783,87.42791111111111,-0.01875,309.0,23.68421052631579,35.992982456140346,54.96666666666668,False,2.3912280701754387,117.859649122807,1.448666666666668,10.0,-0.1637500000000074
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LEC,Ferrari,regulations_2026_reset,1.25,58,82.77033333333334,82.579,86.31348,-0.0135510204081632,313.0,23.670689655172417,36.067241379310346,54.9896551724138,False,2.298275862068966,118.1206896551724,0.282666666666671,6.0,0.1275000000000119
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LIN,Racing Bulls,regulations_2026_reset,1.25,57,84.26383333333334,84.182,87.19648979591838,-0.0322083333333334,315.0,23.66491228070176,36.089473684210525,54.98771929824562,False,2.259649122807018,116.9298245614035,1.7761666666666684,12.0,0.1637499999999931
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,NOR,McLaren,regulations_2026_reset,1.25,58,82.6795,82.358,85.74710869565217,-0.0561555555555552,318.0,23.67758620689655,36.06896551724138,54.96379310344828,False,2.191379310344828,120.70689655172414,0.191833333333335,4.0,0.0
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,OCO,Haas F1 Team,regulations_2026_reset,1.25,57,84.55216666666666,84.424,86.94034693877552,-0.0465625000000002,325.0,23.666666666666668,36.10350877192983,54.95964912280702,False,2.3877192982456146,119.49122807017544,2.064499999999996,14.0,0.2109166666666624
