position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,44,66,25.0,False,False,False,5548.105,0,1287,11307
2.0,63,66,18.0,False,False,False,5567.666,19.561,1287,11307
3.0,1,66,15.0,False,False,False,5571.824,23.719,1287,11307
4.0,3,66,12.0,False,False,False,5588.602,40.497,1287,11307
5.0,81,66,10.0,False,False,False,5606.766,58.661,1287,11307
6.0,6,65,8.0,False,False,False,,+1 LAP,1287,11307
7.0,10,65,6.0,False,False,False,,+1 LAP,1287,11307
8.0,30,65,4.0,False,False,False,,+1 LAP,1287,11307
9.0,41,65,2.0,False,False,False,,+1 LAP,1287,11307
10.0,43,65,1.0,False,False,False,,+1 LAP,1287,11307
11.0,5,64,0.0,False,False,False,,+2 LAPS,1287,11307
12.0,55,64,0.0,False,False,False,,+2 LAPS,1287,11307
13.0,31,64,0.0,False,False,False,,+2 LAPS,1287,11307
14.0,11,63,0.0,False,False,False,,+3 LAPS,1287,11307
15.0,16,62,0.0,True,False,False,,,1287,11307
16.0,12,61,0.0,True,False,False,,,1287,11307
17.0,87,60,0.0,True,False,False,,,1287,11307
,23,55,0.0,False,False,False,,+11 LAPS,1287,11307
,14,37,0.0,True,False,False,,,1287,11307
,27,29,0.0,True,False,False,,,1287,11307
,77,15,0.0,True,False,False,,,1287,11307
,18,5,0.0,True,False,False,,,1287,11307
